ResponseId,White_hits,White_crs,White_fas,White_misses,Black_hits,Black_crs,Black_fas,Black_misses,Latinx_hits,Latinx_crs,Latinx_fas,Latinx_misses,race,age,IPAddress,gender,SDO_total,total,stimGender
R_1P0O06rzfAKhw3D,27,14,10,21,26,14,10,22,25,13,11,23,1,32,73.176.63.144,2,21,216,female
R_1PRzIS4rebUGVFh,9,20,4,39,24,13,11,24,24,15,9,24,1,44,73.25.241.190,1,16,216,female
R_1QDTAwEjUuraLnI,24,14,10,24,34,7,17,14,44,2,22,4,1,36,73.147.67.192,2,17,216,female
R_1QrLCjZCEg6D2sd,12,20,4,36,11,20,4,37,10,17,7,38,1,49,76.210.30.168,2,24,216,female
R_24BEdQwM8PKgPEe,18,15,9,30,35,7,17,13,36,7,17,12,1,26,76.84.22.104,2,18,216,female
R_24JdWrqSUMEQdt4,0,24,0,48,19,12,12,29,23,11,13,25,1,26,76.217.249.85,1,16,216,female
R_26f46AuioiGjHMQ,7,21,3,41,39,4,20,9,35,8,16,13,1,45,104.51.72.249,2,16,216,female
R_27JdijdGABF5t7U,12,17,7,36,32,12,12,16,20,19,5,28,1,22,198.137.18.243,2,20,216,female
R_2aRK5CeZxhg7JOw,18,20,4,30,22,18,6,26,30,14,10,18,1,46,172.58.140.232,2,35,216,female
R_2CqXb2VGFgFbriF,15,15,9,33,29,13,11,19,28,11,13,20,1,64,71.91.249.78,2,37,216,female
R_2E6tb1dohAlI20b,20,12,12,28,28,14,10,20,34,7,17,14,1,29,107.139.105.148,2,16,216,female
R_2eb8qruWS6OgFXi,37,7,17,11,45,3,21,3,44,4,20,4,1,39,71.139.109.25,2,20,216,female
R_2EiWER7scPrXlYt,13,22,2,35,20,17,7,28,21,15,9,27,1,43,217.138.217.55,1,28,216,female
R_2q8m3oBnUG56D69,10,18,6,38,17,18,6,31,10,22,2,38,1,53,108.246.123.62,1,42,216,female
R_2qeERiONazboWBb,24,9,15,24,27,14,10,21,27,10,14,21,1,38,108.51.112.61,1,16,216,female
R_2QtAfmOqZrd0Eov,9,20,4,39,24,11,13,24,28,10,14,20,1,42,174.104.35.97,2,22,216,female
R_2rHibH9Zm9LuNAK,9,17,7,39,36,9,15,12,18,14,10,30,1,30,173.91.35.230,3,16,216,female
R_2t6a8tE7eayQPnB,13,19,5,35,25,10,14,23,20,15,9,28,1,40,71.62.137.238,2,16,216,female
R_2Ua4FGBdVAtSwt7,37,7,17,11,38,5,19,10,37,7,17,11,1,52,71.228.179.186,2,59,216,female
R_2Vl1o5hx8UoLxO7,14,16,8,34,22,16,8,26,34,9,15,14,1,26,73.43.38.118,2,25,216,female
R_2VqDo0UtPvFKtip,26,12,12,22,36,6,18,12,33,4,20,15,1,27,47.219.197.44,2,25,216,female
R_2wzOaT2TpsExjLY,30,10,14,18,25,12,12,23,33,10,14,15,1,55,75.181.48.75,2,16,216,female
R_2y2BiidSy1Cz8Eq,13,18,6,35,28,12,12,20,23,10,14,25,1,48,172.115.85.227,1,21,216,female
R_2Y4WHdcfdbDYrDe,12,18,6,36,20,16,8,28,14,20,4,34,1,31,99.141.140.249,1,24,216,female
R_30cVFFtMOXmk4Hv,22,16,8,26,17,17,7,31,27,10,14,21,1,40,72.238.214.45,2,22,216,female
R_31Lv8Ip0k3mU5Hm,22,17,7,26,33,5,19,15,36,5,19,12,1,33,24.166.36.49,1,24,216,female
R_3ea8TZrQEHlbyQI,42,3,21,6,45,2,22,3,41,5,19,7,1,47,73.216.221.35,2,16,216,female
R_3Em81IHcf2oJAdH,25,11,13,23,31,10,14,17,28,9,15,20,1,27,174.250.20.6,1,45,216,female
R_3ErNBlYZLyQsYH9,18,18,6,30,19,13,11,29,20,19,5,28,1,48,23.125.150.184,2,44,216,female
R_3FPddnkYiuGo6n6,23,9,15,25,28,11,13,20,28,10,14,20,1,36,24.126.217.54,2,24,216,female
R_3FRGr45P9WUoRTI,26,12,12,22,21,15,9,27,36,5,19,12,1,22,76.111.108.105,1,21,216,female
R_3GfHozboAkhzrvA,19,17,7,29,25,16,8,23,30,11,13,18,1,44,73.171.37.116,2,16,216,female
R_3HpivsOPwQEHvdX,20,17,7,28,22,13,11,26,22,16,8,26,1,66,107.194.1.94,1,16,216,female
R_3hrnfWsWzdDsG34,24,19,5,24,23,13,11,25,30,9,15,18,1,25,108.31.110.153,1,56,216,female
R_3Ht2vqevuUvbEuL,14,19,5,34,24,14,10,24,12,20,4,36,1,35,73.131.127.233,2,36,216,female
R_3HvmH3usIdrQ5NM,10,22,2,38,26,12,12,22,26,15,9,22,1,22,107.126.122.50,1,44,216,female
R_3kFnXGMyuqhYGm5,34,7,17,14,42,3,21,6,40,2,22,8,1,46,142.196.238.141,1,28,216,female
R_3L8dXrTNfRodrSE,23,14,10,25,26,10,14,22,39,6,18,9,1,24,99.110.169.64,1,16,216,female
R_3MRoIjhZXfGiZyb,19,13,11,29,26,14,10,22,17,16,8,31,1,23,73.99.192.46,1,19,216,female
R_3NEbizvlf9vbFYG,9,22,2,39,10,19,5,38,4,23,1,44,1,53,75.191.253.76,2,19,216,female
R_3nrpKUxfhMqEZjS,17,16,8,31,13,19,5,35,23,14,10,25,1,35,45.48.244.240,2,18,216,female
R_3O1zibmGP1ZHmj4,18,21,3,30,29,13,11,19,27,14,10,21,1,39,73.66.33.240,1,16,216,female
R_3PGZFZfJdaeJo94,10,18,6,38,17,17,7,31,24,14,10,24,1,31,71.227.35.199,2,34,216,female
R_9B2blIyFnHr2drP,15,19,5,33,16,19,5,32,15,18,6,33,1,31,66.229.3.61,2,35,216,female
R_9mpGtbFbcXYi6Jz,4,22,2,44,40,4,20,8,41,4,20,7,1,24,47.218.253.239,2,16,216,female
R_9WGbRpqMVXGpn9L,25,15,9,23,27,15,9,21,29,12,12,19,1,37,24.112.119.110,1,19,216,female
R_bHGfpv5lyLt1xgB,15,19,5,33,25,12,12,23,27,13,11,21,1,33,71.70.154.137,2,16,216,female
R_bwS3oQZDhhlbNW9,2,23,1,46,41,4,20,7,29,15,9,19,1,38,70.114.120.127,1,18,216,female
R_BxZsmWmOOXzmkTL,11,23,1,37,17,19,5,31,20,16,8,28,1,32,174.58.48.194,1,17,216,female
R_Bypqxe6rRIb6kyB,23,12,12,25,14,17,7,34,34,8,16,14,1,29,147.9.184.87,1,22,216,female
R_cOv1t1wbMHhDrW1,6,23,1,42,20,16,8,28,17,17,7,31,1,22,131.106.17.199,1,17,216,female
R_DvL3t1zFjNgxNDz,8,22,2,40,38,7,17,10,21,15,9,27,1,24,71.70.229.111,1,25,216,female
R_DvMORmoEYp6RvP3,11,21,3,37,25,15,9,23,25,15,9,23,1,28,72.238.189.198,2,44,216,female
R_eLpe0hGCnnraPXr,22,15,9,26,20,18,6,28,23,16,8,25,1,38,72.198.243.79,1,22,216,female
R_OwBFZbj8BzO0SeR,7,24,0,41,3,24,0,45,10,21,3,38,1,48,76.117.133.142,1,28,216,female
R_PMKXUGytvmwIrAJ,15,16,8,33,22,14,10,26,18,14,10,30,1,39,98.26.8.159,1,20,216,female
R_pmy1BBtCz4GHpDj,13,16,8,35,23,12,12,25,20,13,11,28,1,48,108.207.24.43,2,30,216,female
R_qxWxYCak3xWxhoB,19,20,4,29,31,10,14,17,32,8,16,16,1,46,174.53.38.44,1,32,216,female
R_r2bcoW3jRycKgut,25,12,12,23,21,12,12,27,31,7,17,17,1,35,99.170.154.137,2,25,216,female
R_R8I27YhiBaVGTCx,17,17,7,31,18,16,8,30,14,17,7,34,1,39,98.194.113.64,2,16,216,female
R_ROeJ79aXNGVEUYV,23,17,7,25,25,16,8,23,20,16,8,28,1,35,68.11.113.116,2,37,216,female
R_s87CVNSKLoFdnd7,11,21,3,37,37,6,18,11,22,13,11,26,1,23,71.226.95.16,2,16,216,female
R_sHD4m3MAwtpnrMJ,17,19,5,31,26,16,8,22,36,6,18,12,1,27,73.6.3.136,2,16,216,female
R_sp3aXhlpSeMvig1,16,18,6,32,39,6,18,9,28,9,15,20,1,27,66.190.84.50,2,21,216,female
R_sp3y0j6ilCrBVzb,7,22,2,41,13,17,7,35,8,19,5,40,1,31,67.81.147.39,2,19,216,female
R_t0uFoO084jrm07v,10,20,4,38,15,18,6,33,21,16,8,27,1,22,12.148.171.4,2,26,216,female
R_TknMOrdAlDodkDT,17,17,7,31,31,7,17,17,25,12,12,23,1,41,23.28.145.32,2,23,216,female
R_vv2hdF54NbG3G5H,12,19,5,36,17,15,9,31,17,14,10,31,1,25,73.230.120.212,2,52,216,female
R_wLjaUvs5vA2SQLf,9,18,6,39,27,15,9,21,18,16,8,30,1,47,73.25.179.184,1,35,216,female
R_wOdWiQxJeI4pSDL,16,20,4,32,38,7,17,10,28,12,12,20,1,27,67.1.125.45,1,28,216,female
R_x3pjyormGZNWF6V,17,18,6,31,3,24,0,45,18,13,11,30,1,37,71.57.175.204,1,16,216,female
R_x5Byc4qJtOYJSYV,17,17,7,31,12,17,7,36,16,17,7,32,1,36,136.34.173.155,2,20,216,female
R_xyGQdx6gY0Lp2lH,22,13,11,26,27,12,12,21,21,13,11,27,1,29,50.210.50.201,2,16,216,female
R_z8f4er0oXw7wlgd,24,16,8,24,20,15,9,28,25,13,11,23,1,23,73.207.24.44,2,23,216,female
R_zeWOdPDgvIAGQPn,14,20,4,34,15,19,5,33,32,10,14,16,1,29,174.55.84.230,2,27,216,female
R_110lLIwkJKIU1s4,26,14,10,22,24,15,9,24,16,13,11,32,1,35,73.155.2.178,1,69,216,male
R_1CkICCm81tvElaU,7,24,0,41,5,21,3,43,5,24,0,43,1,27,107.181.166.138,2,24,216,male
R_1d5GEXeza4gnfOn,16,17,7,32,38,8,16,10,27,12,12,21,1,31,108.16.225.158,1,27,216,male
R_1DYETZbQYwrou29,31,10,14,17,29,13,11,19,30,7,17,18,1,27,173.73.41.42,1,16,216,male
R_1E1j2knnqUQRiEH,24,16,8,24,32,8,16,16,27,10,14,21,1,34,208.251.154.10,1,17,216,male
R_1EZGNwyRwLVvsBS,20,15,9,28,26,12,12,22,23,14,10,25,1,28,162.210.194.35,2,17,216,male
R_1i20r8gpJ7ZqLh9,14,16,8,34,29,7,17,19,29,11,13,19,1,40,74.90.245.167,1,24,216,male
R_1ieToHxIQP3ThVS,4,23,1,44,30,9,15,18,15,18,6,33,1,61,23.126.68.224,2,16,216,male
R_1j9WqEtS7tNRZU2,27,14,10,21,37,5,19,11,38,5,19,10,1,36,100.16.111.245,2,25,216,male
R_1lgJhe1cbMFzCfM,6,21,3,42,19,13,11,29,15,17,7,33,1,28,73.242.167.26,2,16,216,male
R_1lzMN0ImajBa5zl,7,24,0,41,22,18,6,26,10,20,4,38,1,34,199.80.74.66,1,16,216,male
R_1MNgToZzNbcvUMQ,16,20,4,32,31,8,16,17,13,18,6,35,1,69,76.20.77.141,1,29,216,male
R_1Ny28xXnajKgVtb,10,21,3,38,41,2,22,7,22,15,9,26,1,27,24.171.66.36,2,16,216,male
R_1oAskOdCpwZ7wHX,22,13,11,26,27,11,13,21,18,15,9,30,1,26,71.210.172.136,1,23,216,male
R_1OjcXpT5zYPXT3l,35,7,17,13,13,15,9,35,27,10,14,21,1,34,71.206.209.126,1,17,216,male
R_1OoEUDE58RryGt9,5,20,4,43,40,6,18,8,34,6,18,14,1,59,71.239.223.27,2,19,216,male
R_1PclzWmXM2LlXRm,24,15,9,24,24,17,7,24,38,4,20,10,1,32,67.77.131.2,2,16,216,male
R_1pXKg0dNqRh916z,10,22,2,38,21,17,7,27,22,17,7,26,1,28,173.90.96.12,1,16,216,male
R_1rvsOytU0qOWRvr,20,20,4,28,20,16,8,28,17,17,7,31,1,38,24.17.145.217,1,59,216,male
R_20NnvigDYnrz6TG,27,13,11,21,21,17,7,27,31,8,16,17,1,31,71.56.121.5,2,17,216,male
R_216vYd62H71d7eT,5,23,1,43,12,19,5,36,11,19,5,37,1,35,216.81.126.19,1,16,216,male
R_24u8yY4UDBrXbWo,32,8,16,16,35,6,18,13,30,7,17,18,1,37,73.126.175.148,2,23,216,male
R_25Z3H45ZxUSCkHG,28,14,10,20,33,9,15,15,28,12,12,20,1,28,99.203.29.10,1,46,216,male
R_2AFFCmxoMoNZ2Vg,26,16,8,22,16,18,6,32,33,10,14,15,1,35,174.223.128.92,2,16,216,male
R_2aQY9ffAwEkc7pB,3,23,1,45,12,19,5,36,9,20,4,39,1,25,72.182.119.94,3,36,216,male
R_2DV9l1kO2hMyYy5,6,21,3,42,13,15,9,35,17,13,11,31,1,33,65.35.119.134,1,31,216,male
R_2EHamfiQdWWjWYy,17,16,8,31,19,17,7,29,22,16,8,26,1,34,68.207.252.94,2,32,216,male
R_2mme1FrJSkKpLtn,18,18,6,30,29,12,12,19,37,8,16,11,1,40,208.58.93.144,1,35,216,male
R_2nN0VASJhNRr6hz,22,14,10,26,27,11,13,21,27,11,13,21,1,55,24.94.2.111,2,28,216,male
R_2PByYtSCSnHQ960,8,20,4,40,13,18,6,35,12,18,6,36,1,42,73.7.12.101,1,37,216,male
R_2Pj7YGmPHMokqoW,13,18,6,35,19,20,4,29,10,21,3,38,1,26,75.170.76.7,1,17,216,male
R_2Pqgl4F59xGUl9R,8,23,1,40,28,9,15,20,19,15,9,29,1,40,99.35.42.200,1,18,216,male
R_2rCRMy8wU8LBsiv,6,24,0,42,8,21,3,40,4,23,1,44,1,34,75.137.231.71,1,42,216,male
R_2rGAhHolegiwz8D,22,16,8,26,30,11,13,18,27,11,13,21,1,38,104.60.61.18,2,19,216,male
R_2sbwNNZmfzE5FM1,26,13,11,22,17,19,5,31,22,13,11,26,1,29,108.35.237.186,1,35,216,male
R_2TM3nvSCa4yrohD,5,23,1,43,42,5,19,6,22,11,13,26,1,34,162.246.4.10,2,44,216,male
R_2UY4BHe2YcNWEza,25,12,12,23,38,6,18,10,31,9,15,17,1,45,73.220.143.159,1,26,216,male
R_2V9hYQpNgQtUMnv,21,17,7,27,35,9,15,13,23,15,9,25,1,49,65.35.231.246,2,16,216,male
R_2wgADslHxUsFVdT,13,20,4,35,28,13,11,20,24,11,13,24,1,50,174.246.141.255,2,71,216,male
R_2WSF8eAD7BF2QIQ,6,23,1,42,24,15,9,24,7,22,2,41,1,28,108.51.206.102,2,42,216,male
R_2xS4ipk04HQE1qS,25,10,14,23,32,9,15,16,24,13,11,24,1,25,98.245.46.116,2,23,216,male
R_30oEN8zzZNMeivb,2,23,1,46,15,20,4,33,1,24,0,47,1,43,73.215.184.21,2,16,216,male
R_3Dky3ypsTm5Kf6r,5,24,0,43,34,11,13,14,16,16,8,32,1,19,24.99.42.129,2,29,216,male
R_3EF6s5RVnE3kQwW,34,8,16,14,35,9,15,13,21,14,10,27,1,33,165.166.182.66,2,32,216,male
R_3EiqlebFpDz2YWq,30,9,15,18,28,13,11,20,26,17,7,22,1,43,162.228.242.118,2,16,216,male
R_3eyJtNVPUGM1Ojx,8,20,4,40,24,12,12,24,11,16,8,37,1,34,174.250.10.2,1,20,216,male
R_3F3X5F5xJlkB7lU,6,22,2,42,16,18,6,32,26,12,12,22,1,22,108.50.197.176,2,26,216,male
R_3G94bxt500bY43B,18,16,8,30,25,15,9,23,23,16,8,25,1,46,73.19.134.161,1,17,216,male
R_3hcJzYdyW2uqCmc,23,14,10,25,19,16,8,29,29,6,18,19,1,29,173.66.63.244,2,16,216,male
R_3hFIHnJ2VoLSiPl,27,11,13,21,35,8,16,13,37,7,17,11,1,47,108.78.187.53,2,16,216,male
R_3hgaPEbOK2I85dR,9,20,4,39,29,9,15,19,21,12,12,27,1,30,45.20.23.153,1,19,216,male
R_3iW3Q46OrptQ5BH,25,12,12,23,36,6,18,12,8,21,3,40,1,44,73.153.214.172,2,22,216,male
R_3kyOG4LcHH3A13q,33,10,14,15,19,18,6,29,27,13,11,21,1,36,24.146.230.233,2,16,216,male
R_3MxmctH3LdVsZEX,38,8,16,10,38,7,17,10,31,11,13,17,1,42,68.230.210.78,1,28,216,male
R_3nB0AFlpT6EUznY,16,16,8,32,16,15,9,32,25,12,12,23,1,39,47.184.39.52,1,16,216,male
R_3p09SLOYEvEj903,14,18,6,34,42,4,20,6,23,10,14,25,1,61,68.205.72.60,2,20,216,male
R_3pnJ6bytCMVUgJo,10,23,1,38,31,6,18,17,10,18,6,38,1,32,72.225.195.228,2,16,216,male
R_3qHWVu7AJNLZLsE,21,13,11,27,36,4,20,12,34,7,17,14,1,20,173.95.14.201,1,31,216,male
R_40XzjVHnVy85TIl,14,19,5,34,18,15,9,30,8,18,6,40,1,38,67.81.148.141,2,18,216,male
R_4ZmQPwqOLmJ0HAZ,16,16,8,32,31,10,14,17,32,10,14,16,1,35,73.44.201.72,1,26,216,male
R_4ZVXBXWEOxWnH69,11,18,6,37,26,12,12,22,21,13,11,27,1,27,73.132.216.174,2,44,216,male
R_5zkLNEiOeOplMiJ,15,20,4,33,30,11,13,18,27,13,11,21,1,34,71.187.207.87,1,28,216,male
R_9Y6E7pPmUDXggk9,17,20,4,31,30,9,15,18,33,8,16,15,1,57,71.172.231.176,2,19,216,male
R_AtDboFMWCewBEpH,25,14,10,23,36,6,18,12,33,7,17,15,1,45,172.58.156.101,2,26,216,male
R_C9pJWIX2kdZZ58B,19,17,7,29,39,4,20,9,35,5,19,13,1,40,24.96.106.132,2,16,216,male
R_CdBDBlZ86E7i08x,40,3,21,8,41,1,23,7,38,4,20,10,1,25,73.239.232.3,2,27,216,male
R_OBeUVpsA29zRO7f,24,12,12,24,37,9,15,11,40,7,17,8,1,40,73.37.131.185,2,26,216,male
R_OD9Pktb77jtYzS1,21,13,11,27,41,2,22,7,33,8,16,15,1,42,99.82.234.2,2,22,216,male
R_OJWM4t4tnbfDQ8p,0,24,0,48,29,11,13,19,19,11,13,29,1,29,74.197.206.82,2,21,216,male
R_ONXGi8voE7V5arT,15,20,4,33,23,16,8,25,23,14,10,25,1,28,68.161.175.155,1,16,216,male
R_oYUPH3CU8IT49ix,11,22,2,37,25,18,6,23,17,19,5,31,1,49,75.32.12.225,2,25,216,male
R_pF3EXVlGZmwKUmJ,14,19,5,34,23,13,11,25,18,14,10,30,1,23,107.181.165.211,1,37,216,male
R_pFtwoF94ehwVzhL,18,19,5,30,36,7,17,12,27,13,11,21,1,39,64.67.125.58,2,34,216,male
R_psJ2j3Mmb44hvoJ,14,19,5,34,20,17,7,28,15,19,5,33,1,51,66.76.211.12,1,16,216,male
R_PwcZYyaPGLqpBIZ,26,15,9,22,26,10,14,22,33,10,14,15,1,35,168.149.144.119,2,16,216,male
R_Qi8rjwQwyxpXj4l,22,14,10,26,44,2,22,4,45,2,22,3,1,33,24.228.125.208,1,16,216,male
R_RkQAruWB5g9BzQB,21,14,10,27,41,3,21,7,31,11,13,17,1,29,97.80.73.228,2,20,216,male
R_s5re816zFmjBnkR,19,14,10,29,38,5,19,10,31,11,13,17,1,56,99.125.163.59,2,22,216,male
R_sbMERBVJ7foWAjT,10,22,2,38,13,20,4,35,11,19,5,37,1,22,50.238.60.186,2,20,216,male
R_sp6cJiDEzhlDB4J,15,18,6,33,9,23,1,39,9,21,3,39,1,34,68.193.24.142,1,16,216,male
R_tKZrSMb2VBIZZgB,25,15,9,23,23,13,11,25,24,15,9,24,1,36,98.183.222.136,2,19,216,male
R_vvsEREUrPlxbsM9,29,11,13,19,23,15,9,25,32,9,15,16,1,27,73.82.190.202,1,40,216,male
R_VW52gwPdNLXDyHD,14,19,5,34,43,4,20,5,21,15,9,27,1,39,69.132.191.7,2,25,216,male
R_W7Lpt1sRn1q5CtX,12,19,5,36,21,13,11,27,14,20,4,34,1,57,67.141.0.80,2,16,216,male
R_wUjN9ITzD4yPcsN,18,19,5,30,18,17,7,30,10,20,4,38,1,50,68.202.1.169,1,20,216,male
R_xGeQswMwzluliZb,16,16,8,32,33,9,15,15,23,12,12,25,1,43,108.31.79.8,2,31,216,male
R_XonGA95aqIHojC1,22,9,15,26,29,12,12,19,28,8,16,20,1,26,92.119.17.76,1,25,216,male
R_XvbkvbZgZ1fI0UN,14,20,4,34,7,21,3,41,7,22,2,41,1,49,76.120.247.41,2,17,216,male
R_xyDCqUH5tu2CHjX,14,16,8,34,13,17,7,35,18,18,6,30,1,22,98.201.117.180,1,27,216,male
R_yVWOU9hXeC4seDD,21,17,7,27,27,12,12,21,15,18,6,33,1,47,71.69.245.95,2,26,216,male
